Filename,Image #,Gender,Race,Confident,Egotistic,Intelligent,Kind,Responsible,Trustworthy,Aggressive,Caring,Emotional,Friendly,Sociable,Qualified
Google_1_Amelia Lines_11_oval.jpg,521,0,1,6.33,2.93,6.47,6.73,6.6,6.8,2.93,6.8,5.07,6.67,6.93,0
Google_1_Alan Ruff_7_oval.jpg,522,0,1,3.6,4,5,4,4.8,4.27,4.93,4.33,4.73,4.13,3.27,0
Google_1_Kristen Weidner_11_oval.jpg,523,0,1,6.4,3.93,6.2,6.47,6.47,6.2,2.67,6.93,6.73,7.07,7.8,1
Google_1_Randy Gary_3_oval.jpg,524,1,1,6.47,4.67,6.93,6.53,6.87,5.6,3.6,6.33,5.47,5.87,6,1
Google_1_Craig Kirk_7_oval.jpg,525,1,1,5.8,3.2,5.73,6.07,6.47,5.07,2.87,5.47,4.2,5.6,5.53,1
Google_1_Shawn Howe_4_oval.jpg,526,1,1,7.07,5.2,5.27,5.6,6.13,6.07,3.07,6.6,5.73,7.47,7.73,0
Google_1_Danielle Christenson_15_oval.jpg,527,1,2,6,5.73,4.8,4.13,4.53,4.07,6.07,4.47,3.87,4.27,4.6,0
Google_1_Douglas Devaney_7_oval.jpg,528,1,1,6.8,5,6.87,5.27,6.73,5.47,2.8,5.73,3.4,6.13,6.13,1
Google_1_Wanda Soukup_7_oval.jpg,529,1,1,3.8,3.33,4.93,3.87,5,4.07,4.2,4,3.47,3.93,4.2,1
Anthony_Newell_7_oval.jpg,530,1,1,5.73,3.53,5.73,5.13,5.53,5.4,5,5.27,4.8,5.4,5.07,1
Google_1_Jason Glasscock_7_oval.jpg,531,1,1,7.29,4.29,7,6.36,7.07,6.36,3.64,6.36,4.79,6.5,5.71,0
Google_1_Irma Duckworth_9_oval.jpg,532,1,1,5.8,4.93,5.73,4.8,4.93,4.33,5.2,3.73,4.33,3.87,4.27,0
Google_1_Kara Flick_7_oval.jpg,533,0,1,6.53,5,6.07,5.13,6.33,5.87,4.13,5.53,4.4,5.07,5.6,0
Google_1_Rebecca Egbert_1_oval.jpg,534,0,1,5.2,3.67,5.47,5.87,5.33,6,2.2,6.53,5.4,6.67,5.93,0
Google_1_Lynda Dickenson_5_oval.jpg,535,0,2,5.73,2.8,5.73,6.13,6.33,5.87,2.33,6.53,5.27,7.13,6.53,0
Google_1_Kimberly Tallent_7_oval.jpg,536,1,1,5.21,4,5.29,5.79,5.43,5.36,5.07,4.93,4.71,4.86,5.5,1
Google_1_Christy Turnbow_1_oval.jpg,537,0,1,6.64,3.29,6.21,6.57,6.71,6.36,2.93,6.21,4.71,6.29,5.64,0
Google_1_Rita Earley_11_oval.jpg,538,0,1,6.6,2.93,6.87,6.73,6.71,6.2,2.8,6.73,5.87,7,7.07,0
Google_1_Martin Whittington_5_oval.jpg,539,1,1,6.2,4.4,5,6.07,4.8,5.47,3.4,5.8,5.33,6.8,7.13,0
Google_1_Hazel Dixon_12_oval.jpg,540,0,1,5.47,2.93,5.8,6.33,5.73,6,3.2,5.67,4.87,6.6,6.87,0
Google_1_Norman Sears_1_oval.jpg,541,1,1,7.29,4.64,6.93,6,6.79,5.86,2.79,5.64,4.29,6.71,6.79,0
Billy_Owings_11_oval.jpg,542,1,1,4.87,2.93,5.67,6.13,5.67,6.07,2.33,6.07,4.47,6.4,5.6,0
Google_1_Jason Audette_9_oval.jpg,543,0,1,4.67,3.13,5.33,5.2,5.07,5.33,4.13,5.6,4,5.33,5.27,0
Google_1_Chad Ogrady_5_oval.jpg,544,1,1,6.8,5.67,6.2,4.6,5.27,4.73,4.6,3.87,4.33,4.2,4.53,0
Google_1_Ralph Spiller_15_oval.jpg,545,0,1,5.6,3.2,5.87,5.2,5.8,5.4,3.93,4.93,5.53,5.33,6,0
Google_1_Patsy Kennedy_15_oval.jpg,546,1,1,5.53,3.67,5.53,6.13,6.53,6.13,3.73,5.6,5.6,6.13,6.67,0
Google_1_Adrienne Meza_9_oval.jpg,547,1,5,5.87,3.73,5.8,5.4,6,5.47,3.4,5.87,4.47,6.33,5.73,0
Google_1_Clara Fuqua_13_oval.jpg,548,1,1,5.67,4.6,6.07,5.2,5.33,4.87,3.4,5.6,5.27,5.73,5.67,0
Google_1_Teresa Sykes_17_oval.jpg,549,0,1,6.27,4.53,6.27,6.87,6.4,6.53,2.27,6.67,6.2,7.33,7.13,0
Google_1_Brittany Shumaker_11_oval.jpg,550,1,1,5.93,3.27,6.33,6.27,6.07,6,2.93,5.87,4.53,6.73,6.67,0
Ada_Riddick_15_oval.jpg,551,1,1,6.27,4.07,6.73,4.33,6.13,5.07,5.27,4.6,3.6,4.27,4.2,0
Google_1_Frank Garibay_19_oval.jpg,552,1,2,6.33,4.33,5.93,6.07,6.13,6.2,3,6.87,5.73,7.13,7.27,0
Google_1_Leah Hershberger_13_oval.jpg,553,1,1,5.6,3.07,5.73,5.6,4.87,5.87,3.87,5.2,4.73,5.93,6.73,0
Google_1_Sally Harold_19_oval.jpg,554,1,3,6.8,3.07,6.47,6.21,5.93,6,2.67,6,5.07,6.4,5.53,0
Google_1_Edward Speer_11_oval.jpg,555,1,1,5,3.87,5.29,5.67,5.4,5.4,3.73,5.2,5,6.2,5.6,1
Google_1_Misty Lozada_1_oval.jpg,556,0,3,5.87,3.8,5.73,5.53,5.53,4.67,2.6,6.13,4.6,6.27,6.73,0
Google_1_Marian Lunn_7_oval.jpg,557,1,1,6.27,2.07,6.2,6.33,6.2,6.6,3.67,5.47,5.93,6.4,6.07,1
Google_1_Marjorie Rule_5_oval.jpg,558,1,3,5,4.47,5.53,4.47,5.2,5.23,3.73,4.87,3.73,5.27,5.07,0
Google_1_Allen Diego_15_oval.jpg,559,1,1,6.87,4.87,7.13,7.2,7.07,6.8,3.93,5.67,5,6.4,6.73,0
Google_1_Marvin Lavergne_5_oval (2).jpg,560,0,5,5.6,2.07,6,6.67,6.4,6.33,2.07,7,5.47,6.93,6.33,0
Google_1_Martin Willey_17_oval.jpg,561,1,1,5.6,3.47,6.2,6.07,5.67,5.87,2.87,5.53,5.4,6.47,5.67,0
Google_1_Martin Speer_1_oval.jpg,562,0,1,6.33,3.27,6.2,6.53,6.6,6.2,2.73,6.53,5.07,6.67,6.2,0
Google_1_Christopher Kesler_11_oval.jpg,563,1,1,4.53,5.87,4.6,2.67,2.93,2.73,5.53,2.87,4.27,2.87,3.27,0
Google_1_Roy Catron_142_oval.jpg,564,0,1,6.47,2.93,6.73,6.93,6.53,6.67,3.6,5.4,5.67,6.2,6.4,0
Google_1_Bryan Brunner_3_oval.jpg,565,0,1,5.6,2.13,6.13,5.8,6.13,6.47,2.87,6.4,5.13,6.87,6.53,1
Google_1_Lydia Ngo_15_oval.jpg,566,0,3,6.73,2.53,7,7.33,6.73,7.13,1.53,6.8,4.33,6.8,6.4,0
Google_1_Rachel Espinosa_72_oval.jpg,567,1,1,6.13,3.87,6,6.4,6.6,5.87,2.87,6.87,5.4,7.13,7,1
Google_1_Florence Jaeger_19_oval.jpg,568,0,2,6.33,4.2,6.13,6,6.33,5.93,4.27,5.53,4.71,5.33,5.87,0
Google_1_Jennifer Shuster_7_oval.jpg,569,0,1,6.47,2.87,6.6,6.8,7,6.6,2.73,6.4,4.47,6.67,6.47,0
Google_1_Vincent Gerdes_3_oval.jpg,570,1,1,6.33,2.73,6.27,6.87,7,6.8,2.6,6.8,4.4,7.2,6.47,1
Google_1_Vicky Reitz_7_oval.jpg,571,0,1,5.53,1.8,5.93,7.07,6.8,6.73,2.87,6.27,5.4,6.4,6.27,0
Google_1_Steven Prevost_3_oval.jpg,572,1,1,6.13,4.67,5.93,5.8,6.67,6,3.4,5.4,4.07,5.8,6,0
Albert_Rohr_5_oval.jpg,573,1,1,6,4.27,6.07,5.53,5.87,4.8,4.07,5.33,4.53,5.6,5.73,1
Google_1_Jeremy Rea_9_oval.jpg,574,1,1,6.71,3.79,6.71,6,6.79,6.71,3.14,6.21,4.5,6.64,5.71,1
Google_1_Irma Lugo_13_oval.jpg,575,1,1,6.67,5.13,6.93,5.47,6.47,6,2.87,4.67,3.87,5.6,5.67,0
Google_1_Georgia Horn_1_oval.jpg,576,0,1,6.73,2.4,6.67,6.93,7.07,7.07,3.87,6.2,6.27,6.67,6.07,0
Google_1_Della Settles_1_oval.jpg,577,0,5,5.36,3.5,5.64,7.15,6.5,6.36,2.5,6.5,5.64,6.69,6.43,0
Google_1_Karla Valdes_1_oval.jpg,578,0,5,6.64,4.93,5.57,6.29,6.14,6.14,3.21,6.5,3.93,6.71,7.14,0
Google_1_Fred Knotts_1_oval.jpg,579,1,1,6.07,3.73,6.4,5.47,6.13,5.27,3.47,4.73,4.4,4.53,4.4,1
Google_1_Glenn Shields_19_oval.jpg,580,0,1,6.8,4.73,6.13,5.73,5.67,5.4,3.73,4.4,4.6,4.8,6.33,0
Google_1_Ralph Ojeda_3_oval.jpg,581,1,1,5.2,4.27,6.13,5.2,5.87,5.53,4.67,4.53,4.6,4.4,5.27,0
Google_1_Joanna Silvas_3_oval.jpg,582,0,1,6.4,5,5.93,6.2,5.73,6.2,4.53,4.87,5.13,5.07,6.27,0
Google_1_Gloria Canada_13_oval.jpg,583,0,1,4.87,3.73,5.67,4.93,4.93,5.6,3.73,4.93,4.6,4.87,5.47,0
Google_1_Craig Hagerman_5_oval.jpg,584,1,1,4.87,6.27,5.13,3.4,4.4,3.86,6.13,4.47,4.33,4.27,4.4,0
Google_1_Shelia Chapman_3_oval.jpg,585,0,1,5.6,2.93,5.67,6.13,5.73,6.4,3.13,6.6,5.67,5.67,6.13,0
Google_1_Ida Markel_5_oval.jpg,586,0,1,5.4,3.67,5.87,6.47,6.13,6.4,3.73,5.6,4.8,5.87,5.8,0
Google_1_Adam Cauthen_1_oval.jpg,587,1,1,5.87,4.67,6.33,4.6,6,5.8,3.87,5.67,4.13,5.14,4.67,0
Charles_McDougal_12_oval.jpg,588,1,2,6.2,3.07,6.47,6.73,6.8,5.93,3.33,6.5,5.07,6,6.27,0
Google_1_Cassandra Gervais_3_oval.jpg,589,1,1,6.47,4.13,5.67,5.27,6.27,5.33,3.13,5.93,4.4,7.07,6.07,1
Google_1_Leona Kirkman_15_oval.jpg,590,0,1,4.87,4.07,6.07,6.2,6.4,5.67,2.73,6.4,5.13,5.73,5.4,0
Google_1_Julie Dash_1_oval.jpg,591,0,2,6.2,3.73,5.87,6.53,7,5.67,3.53,5.73,4.93,5.53,6.33,0
Google_1_Judith Stock_17_oval.jpg,592,0,1,5.87,3.13,6.47,6.2,6.53,5.87,2.6,7.33,4.8,7.07,7.13,0
Google_1_Inez Deville_19_oval.jpg,593,0,1,5.13,3.53,5.6,5.67,5.93,5.73,3.47,5.4,4.07,5.6,5.4,1
Google_1_Victor Garmon_19_oval.jpg,594,1,5,5.07,5.33,4.87,3.14,4.13,3.53,6.07,2.6,3.8,3,3.2,0
Google_1_Marian Mcelroy_17_oval.jpg,595,1,2,3.6,5.27,3.2,3.07,3.67,3.6,6.27,3,3.53,3.07,3.93,0
Google_1_Alan Grooms_13_oval.jpg,596,0,1,6.4,4.73,5.87,6.27,5.27,5.47,3.53,6.2,5.73,6.8,7.73,0
Google_1_Travis Mccurdy_5_oval.jpg,597,0,1,6.33,4.07,5.53,6.67,5.53,5.87,4.47,6.27,5.4,6.8,6.6,0
Google_1_Curtis Yancey_5_oval.jpg,598,0,1,6.67,3.73,6.27,6.47,6.07,5.67,3,6.13,5.13,6.6,6.4,0
Google_1_Harriet Callan_9_oval.jpg,599,1,1,5.4,4.2,6.4,4.93,6.53,5.87,3.2,5.4,4.07,5.4,5.4,1
Google_1_Georgia Langford_7_oval.jpg,600,0,1,6.36,3.57,6.64,6.57,6.29,5.79,2.29,6.79,4.86,7.36,6.86,0
Google_1_Tony Gomez_7_oval.jpg,601,1,5,6.07,5.2,4.73,3.47,5,4.33,4.93,4.93,4,4.8,4.13,0
Google_1_Carla Mcclellan_9_oval.jpg,602,1,1,7.4,5.8,6.33,4.6,6.33,4.67,4.53,4.13,2.8,3.93,4.8,0
Google_1_Vincent Dean_17_oval.jpg,603,1,1,6.73,3.13,6,6.07,6.4,6,4.87,5.87,4.4,5.73,6.73,0
Google_1_Willie Hamer_11_oval.jpg,604,1,2,6.93,4.07,6.8,6.47,6.13,6.07,3.87,5.73,5.53,6.93,7,0
Google_1_Dennis Dobbs_1_oval.jpg,605,1,1,4.67,5.13,3.87,3.33,3.53,4.07,5.93,3.8,4.4,3.53,3.53,0
Google_1_Eileen Bristow_1_oval.jpg,606,0,1,5.47,2.6,6.53,6.73,6.47,6.33,2.73,6.27,5.8,6.53,6.8,1
Google_1_Jeffery Tilton_3_oval.jpg,607,1,1,3.4,3.4,4.4,3.33,3.53,4.07,5.53,3.6,4,3.47,3.4,0
Google_1_Wendy Wiegand_1_oval.jpg,608,0,1,6.47,3.73,6.13,6.13,6.27,6.07,3.13,6.6,5.27,6.33,6.87,0
Google_1_Jesse Fogg_3_oval.jpg,609,1,1,5.93,3.4,5.8,5.67,5.07,5.2,3.87,5.93,5.33,5.4,5.2,0
Google_1_Donna Asberry_5_oval.jpg,610,0,1,6.2,3.2,6.2,6.67,6.33,6.33,2.6,7.2,5.87,7.53,7.4,1
Google_1_Robert Spring_3_oval.jpg,611,1,1,6.73,5.33,6.13,4.87,6.6,5.2,5.13,5.2,3.67,4.67,4.53,1
Google_1_David Hackler_17_oval.jpg,612,1,1,5.07,4.53,5.87,5.93,5.27,4.93,3.33,5.27,5.33,6.4,5.8,1
Google_1_Martin Storer_3_oval.jpg,613,1,1,6.47,3.8,6.67,6.6,7.13,6.8,3.8,5.27,5,5.93,6.07,0
Google_1_Raymond Sheridan_1_oval (2).jpg,614,1,1,4.07,5.07,4.6,3.47,2.93,3.4,5.53,3.53,4.4,3.27,3.6,1
Google_1_John Zuniga_7_oval.jpg,615,1,1,6.27,4.8,6.47,5.8,6.8,4.73,4.4,5.13,3.87,5.73,6.33,0
Google_1_John Thomas_15_oval.jpg,616,1,1,4.6,5.47,4,4.4,3.93,3.33,5.33,3.73,3.87,4.2,4.87,0
Billy_Elwood_17_oval.jpg,617,1,1,5.2,3.4,6.2,5.53,5.6,5.6,2.6,5.4,3.93,5.73,5.33,0
Google_1_Carrie Miguel_11_oval.jpg,618,1,5,4.47,5.07,4.6,3.87,3.93,3.73,4.67,2.73,3.47,3.13,3.47,0
Google_1_Judith Mcclelland_17_oval.jpg,619,0,1,6.53,3.6,6.73,6.73,6.6,6.73,3.4,6.27,5.6,6.67,6.67,0
Google_1_Wayne Mcdaniels_19_oval.jpg,620,1,2,6.13,7.07,5.33,4.13,5,4,4.4,4.6,5.6,4.47,5.13,0
Google_1_Myrtle Fowler_15_oval.jpg,621,1,1,6.4,2.07,5.67,7.27,7.07,6.67,2.6,5.4,4.33,6.07,5.6,0
Google_1_Gerald Burch_1_oval.jpg,622,1,2,5.87,4.33,5.8,6.67,6.6,6.47,2.87,6.33,4.13,7.2,6,0
Google_1_Keith Eckman_17_oval.jpg,623,0,1,6.2,3.4,6.2,6.53,6.6,6.73,2.07,6.87,4.73,7.2,6.4,0
Google_1_Douglas Tanguay_7_oval.jpg,624,1,1,5.4,5.4,6,3.53,5.73,5.27,4.73,4.53,4,4.8,4.53,0
Google_1_Paul Horst_15_oval.jpg,625,0,1,6.53,3,6.13,7,6.2,7.07,2.2,6.6,6.2,6.6,6.2,0
Google_1_Melanie Bustos_1_oval.jpg,626,0,1,6.87,3,6.8,7.33,7.2,6.87,2.67,6.6,4.47,6.8,7.13,0
Google_1_Margaret Perez_15_oval.jpg,627,0,1,6.2,3.87,6.2,6.6,6.67,6.73,3.47,5.73,5.67,6.53,6,0
Google_1_Curtis Switzer_11_oval.jpg,628,1,1,5.67,3.87,6.2,5.13,5.67,5.8,4.33,5.2,4.47,5.33,5.6,0
Google_1_Eric Croft_1_oval.jpg,629,1,1,5.6,3.93,5.73,5.93,5.4,5.4,3.47,5.6,5.47,6.07,4.87,1
Google_1_Marvin Hansel_1_oval.jpg,630,1,1,5.27,6.13,4.8,3.67,4.4,4.13,5.93,3.73,4.4,3.73,4,0
Google_1_Shelly Samaniego_1_oval.jpg,631,0,1,5.87,5.13,6.27,6.87,6.33,6.13,3.53,6.93,5.07,7.07,6.33,0
Google_1_Victor Ellinger_16_oval.jpg,632,0,1,6.13,4,5.87,6,6.4,6.07,2.6,5.93,4.13,6.13,6.4,0
Google_1_Phillip Browning_17_oval.jpg,633,0,1,6.87,4.27,6.07,6.33,6.2,6.87,2.67,6.4,5.53,6.07,7.07,0
Bobby_Funderburk_9_oval.jpg,634,0,1,5.6,4.87,5.13,5.53,6.07,5.13,4.4,5.47,6.2,6.4,6.27,0
Google_1_Russell Couture_3_oval.jpg,635,1,1,4.87,5.13,5.47,3.53,4.07,3.8,6.2,3.47,5.33,3.07,3.73,0
Google_1_Mark Detwiler_17_oval.jpg,636,1,1,6.8,3.8,6.33,6.33,6.67,5.87,2.4,6.33,4.93,6.8,7.4,0
Google_1_Gerald Strunk_1_oval.jpg,637,0,1,6.87,3.13,5.67,6.93,6.53,6.73,2.47,6.67,5.4,7.4,7.4,0
Google_1_Lillie Brockway_9_oval.jpg,638,1,1,5.67,4.07,5.93,6.07,5.6,6,4.27,5.47,4.8,5.87,5.87,0
Google_1_Felicia Rakes_7_oval.jpg,639,0,1,6.47,4.87,6.13,6.4,6.4,5.8,3.8,6.13,5.47,6.27,6.4,0
Google_1_Aaron Hensley_9_oval.jpg,640,1,1,5.27,4.93,5,3.73,4.4,3.67,5.2,4.73,3.93,4.87,4.73,0
Google_1_Christopher Ruffner_15_oval.jpg,641,0,1,5.4,3.47,5.73,5.47,5.2,5.8,2.53,6.6,5.6,6.6,6.87,0
Chris_Fellows_19_oval.jpg,642,1,1,5.27,3.47,5.93,5.47,5.53,5.4,3.73,5.6,4.73,6.07,5.67,0
Google_1_Susan Burbank_5_oval.jpg,643,0,1,5.67,2.87,6,6.13,6.33,6.13,2.73,6.13,5.07,6.93,6,0
Google_1_Sonya Strickland_7_oval.jpg,644,0,1,4.8,2.53,5.4,6.27,6.13,6.2,2.6,6.67,5.13,5.87,5.2,0
Google_1_Vera Becker_5_oval.jpg,645,0,1,6.07,3.27,5.93,5.8,5.87,5.87,3.53,6.33,5.33,7,6.73,0
Ana_Starnes_1_oval.jpg,646,0,1,5.8,3.2,6,4.87,5.8,5.07,3.47,5.67,5.8,6.27,6.33,0
Google_1_Stanley Easton_9_oval.jpg,647,1,1,6.73,4.07,6.73,6.4,6.4,6.47,3.27,5.6,3.67,6.4,6.27,0
Google_1_Sally Amundson_1_oval.jpg,648,0,1,6.33,3.47,6,6.47,5.73,5.93,3.47,6.47,5.33,6.53,6.87,0
Google_1_Olivia Browning_7_oval.jpg,649,0,1,5.33,3.87,6.6,6.07,6.2,4.93,3.2,5,5.53,5.47,5.93,0
Google_1_Geraldine Riggs_15_oval.jpg,650,1,1,5,5.53,5.33,3.4,4.2,4,5.8,3.47,3.53,3.27,3.47,0
Google_1_William Houk_13_oval.jpg,651,1,1,4.27,4.73,4.47,3.67,3.73,3.6,4.47,3.33,2.73,3.6,3.2,0
Google_1_Paul Sun_9_oval.jpg,652,1,1,5.73,4.8,5.2,4.47,6,4.73,4.73,3.6,3.6,3.33,3.47,0
Google_1_Joshua Mcmillon_1_oval.jpg,653,1,2,6.4,5.27,6.27,5.8,5.8,5.67,4.27,6,5.67,6.67,6.27,0
Google_1_Joseph Sandifer_17_oval.jpg,654,1,1,5.93,3.93,6.33,5.67,5.53,6.73,3.2,5.4,4.4,5.33,5.2,1
Google_1_Vera Becker_17_oval.jpg,655,0,1,5.2,2.33,5.8,6.87,6.4,7.27,2,7.33,4.2,6.87,5.6,0
Google_1_John Batey_19_oval.jpg,656,1,2,5.93,5.67,4.2,2.93,3.67,3.27,5.33,3.2,4.53,3.6,4.4,0
Google_1_Joe Owen_9_oval.jpg,657,1,1,6,4.93,5.67,5.67,5.4,5.53,3.07,5.13,3.73,5.8,6.8,0
Google_1_Luis Hannon_5_oval.jpg,658,1,1,6.13,3.87,6.33,5.33,6.53,5.8,4.27,4.93,4.53,4.93,5.2,0
Google_1_Steven Deluna_9_oval.jpg,659,0,5,6.71,3.71,6.36,6.85,6.71,6.29,2.79,6.21,5,6.14,6.14,0
Google_1_Jennie Khoury_5_oval.jpg,660,0,1,7.13,3.47,6.33,6.73,6.93,6.2,2.67,6.67,4.87,6.8,6.67,0
Google_1_Peter Mcclary_13_oval.jpg,661,0,1,6.27,3.47,6.8,6.6,6.93,6.2,3.27,6.2,4.53,6.13,5.67,0
Google_1_Lisa Rabideau_11_oval.jpg,662,1,6,4.67,5.47,5.53,3.93,4.53,3.53,5.33,3.8,3.73,3.13,3.93,0
Google_1_Darlene Lefler_4_oval.jpg,663,0,1,6.27,2.53,6.4,6.13,6.67,6,2.8,5.8,4.93,6.2,5.73,0
Google_1_Sylvia Roscoe_19_oval.jpg,664,1,6,7,3.27,6.87,7.07,6.93,6.47,3.73,6.07,6.13,6.53,6.47,0
Google_1_Paul Whitson_1_oval.jpg,665,1,1,6.21,4.31,6.21,5.57,6.64,6.07,4.07,4.64,3.79,5,5,0
Google_1_Raymond Buss_7_oval.jpg,666,1,1,5.13,3.2,6.67,5.8,6.8,6.6,3.53,5.73,4.93,5.53,4.33,1
Google_1_Lynda Lachance_11_oval.jpg,667,0,1,5.07,3.47,5.67,5.33,5.87,5.4,3,5.27,4.4,5.87,5.73,1
Google_1_Mattie Lavin_11_oval.jpg,668,1,1,5.8,4.13,5.87,5.8,6.27,5.67,2.87,6,5,6.87,6.73,0
Google_1_Vicki Rodriquez_19_oval.jpg,669,0,2,5.93,4.6,6.47,6.6,6.4,6.67,3.27,5.4,5.93,5.2,6.33,1
Google_1_Jeff Ferguson_13_oval.jpg,670,0,1,6.53,3.53,6.2,6.73,6.07,6.2,2.93,6.93,5.6,6.67,6.33,1
Google_1_Jacob Woolley_7_oval.jpg,671,0,1,6.87,3.67,6.27,7.5,5.93,6.6,4.07,5.47,5.4,6.73,6,0
Google_1_Dale Pell_3_oval.jpg,672,1,1,5,4,5.73,5.4,5.8,5.67,3.2,5,3.93,4.93,4.87,0
Google_1_Steven Fish_1_oval.jpg,673,1,1,6.2,4,5.8,6.07,6.53,5.67,2.4,6,4.93,6.87,6,0
Harold_Meyers_5_oval.jpg,674,1,1,6.8,4.8,6.87,6,6.4,6,4.13,6.13,4.53,6.27,6.07,0
Google_1_Ryan Kincaid_15_oval.jpg,675,1,1,6.6,4.27,6.2,6.8,6.13,6.87,2.27,6.13,4.93,6.8,6.73,0
Google_1_Susan Mcroberts_19_oval.jpg,676,0,1,7.07,3,6.73,6.47,6.6,6.87,2.93,6.27,5.87,5.6,6,0
Google_1_Lillie Eichelberger_1_oval.jpg,677,1,1,6.67,4.4,6.87,6.6,6.4,6.53,3.73,5.27,4.07,6.07,6.07,0
Google_1_Victor Mosby_13_oval.jpg,678,0,1,6.67,2.53,6.27,7,7,6.93,3.6,6,5.07,6.2,6.47,0
Google_1_Jo Fischer_13_oval.jpg,679,0,3,6.2,4.07,5.6,5.4,6,5.67,3.6,5.13,4.13,5.87,6.33,1
Google_1_Wendy Schiff_19_oval.jpg,680,0,3,6.33,3.87,6.47,6.13,6.87,6.07,2.93,6.8,4.53,7.07,6.93,0
Google_1_Ann Silvey_3_oval.jpg,681,1,1,5.93,5.2,6.67,6.67,6.13,5.87,3.33,5.2,5.2,6.33,6.53,0
Google_1_Luis Arrowood_5_oval.jpg,682,0,1,4.27,5.2,5.33,3.2,5.13,3.87,5.67,3.2,5.67,3,3.33,0
Google_1_Kevin Pearson_15_oval.jpg,683,0,1,5.73,4.87,5.27,5.53,5.73,5.33,3.87,5.4,6.21,5.8,5.73,0
Google_1_Sharon Ruth_19_oval.jpg,684,0,1,5.93,3.13,6.2,6.93,6.4,7,3.2,6.13,5.47,6.53,6.07,0
Google_1_Craig Carroll_5_oval.jpg,685,1,1,6.4,5.13,6.4,5.93,6.13,5.8,3.07,6.2,4.4,6.4,6.13,0
Google_1_Sean Blanchard_11_oval.jpg,686,0,1,6.87,4.47,6.8,6.47,6.33,5.67,4.07,6.13,5.2,6.4,7.13,0
Google_1_Roger Kayser_7_oval.jpg,687,1,1,5.8,3.73,5.93,5.07,6.64,5.73,4.13,5.4,3.93,5.6,5.4,0
Google_1_Steven Obryan_7_oval.jpg,688,1,1,5.47,4.2,6.33,6.13,7.27,5.87,4,4.8,4.4,4.27,4.93,0
Google_1_Harry Elson_5_oval.jpg,689,0,1,7.27,3.6,6.87,7,6.2,6.4,2.6,6.33,5.87,7.47,6.93,0
Google_1_Scott Willis_15_oval.jpg,690,1,1,6.33,4.33,6,4.87,5.87,5.33,2.67,5.93,4.93,5.93,5.53,0
Google_1_Kristin Hammons_1_oval.jpg,691,0,1,3.93,2.87,5.2,4.53,5.6,4.8,3.47,4.6,5.4,3.87,3.86,1
Google_1_Larry Schnell_5_oval.jpg,692,1,1,6.2,3.8,6.53,5.73,6.33,5.33,4.33,4.6,4.4,4.2,4.8,0
Google_1_Jeffrey Churchwell_1_oval.jpg,693,1,1,6.33,5.33,6.47,6,6.4,6.53,3,5.33,5,6.13,6.6,0
Allen_Eagan_9_oval.jpg,694,0,2,6.67,3.4,6.93,6.93,6.6,6.27,2.8,6.33,5.8,6.93,6.13,0
Google_1_Vincent Monger_17_oval.jpg,695,1,1,6.47,5.2,7.33,6,6.47,5.73,3.93,6.6,5.07,6.87,7,0
Google_1_Bryan Fee_17_oval.jpg,696,1,1,6,4.67,6.07,5.93,6.13,5.27,3,6.4,5.53,7.13,7.2,0
Google_1_Thomas Mercado_9_oval.jpg,697,1,2,4.29,5.33,4.4,3,3.53,3.93,4.87,3.2,4.33,3.27,4,0
Google_1_Benjamin Barber_9_oval.jpg,698,1,1,5.93,4.93,6.07,5.33,5.93,5.53,3.47,4.6,3.93,4.6,4.07,0
Allison_Baldridge_7_oval.jpg,699,1,1,6.93,4.13,6.4,5.47,6,5.8,2.6,5.73,4.73,6.87,6.2,0
Amanda_Kraus_11_oval.jpg,700,0,1,5.73,3.07,5.33,5.07,5.2,5.67,3.73,5.73,5.14,5.64,5.73,1
Google_1_Debra Huff_9_oval.jpg,701,1,1,6.47,4.07,6.53,5.73,6.8,5.6,3.07,5.67,4.8,6.2,6.2,1
Google_1_Sandra Westfall_7_oval.jpg,702,1,1,6.73,4.67,6.6,6.2,6.13,5.93,3.33,5.73,4.33,6.47,5.8,0
Google_1_Jacob Sackett_11_oval.jpg,703,1,1,5.47,4.47,5.6,4.67,6.47,5.87,3.27,5.53,3.73,5.8,5.67,1
Google_1_April Hewett_13_oval.jpg,704,1,1,5.87,4.07,6.6,5.87,5.73,5.8,4.13,5.07,5.07,5.53,5.2,0
Google_1_Anthony Gilmore_7_oval.jpg,705,1,2,6.2,3.73,5.53,6.33,6.13,5.93,2.4,6.13,4.87,6.8,6.27,0
Google_1_Lorraine Silvey_3_oval.jpg,706,1,1,5.47,4.47,6.27,5.8,6.2,5.8,3.53,5.73,4.13,6.47,5.93,0
Google_1_Anne Weinstein_13_oval.jpg,707,1,1,6.27,3.8,5.93,6.07,6.6,6.13,3.47,6.4,5.2,6.93,6.6,0
Google_1_Tiffany Mcnew_7-oval.jpg,708,0,1,7.07,4.2,6.07,6.33,6.6,6.33,1.87,6.47,6.07,7.2,7.93,0
Google_1_Gary Unruh_4_oval.jpg,709,1,1,5.07,4.6,5.47,4.07,5.8,5.13,3.27,5.07,5.33,5.53,5.33,0
Google_1_David Prosser_18_oval.jpg,710,1,1,6.13,6.07,5.93,3.67,5.93,4.27,6.2,3.33,3.73,3.4,3.6,1
